ID,Timestamp,Contents,Attachments
1043950599416332430,2022-11-20 18:06:58.565000+00:00,**WARNING- Dead fish**,https://cdn.discordapp.com/attachments/806614781083516958/1043950599152078859/SPOILER_unknown.png
1043950452301107201,2022-11-20 18:06:23.490000+00:00,"Okay that whole fact was a bit of a downer, so here's one that's a bit more peppy: the demon fish of Florida. So a few people in Florida are sending in photos of a super dried out dead fish that looks really scary. As the fish has dried, the teeth have become visible and the skin has dried to a dark color. As soon as the photo started to make the rounds, all sorts of names came up, snakehead, piranha, and of course, the supernatural ""demon fish."" 
Anyway, it's a bowfin. Native to Florida. If you want more info on them, check out the Dec. 2, 2021 fact!!",
1043948753859649616,2022-11-20 17:59:38.550000+00:00,"Okay, so it's time to own up to some fish facts! As my opinions and discussions have become more developed, I'd like to clarify a few things about Traditional Medicine. I don't think my original fact was exactly fair. I used some language that could be pretty unclear, and that hinted at some bad ideas and concepts. 
So, just to clarify, some traditional medicine does have ways of working that are tested and known to our evidence-based medical system. But these things are in the minority. This does not mean that traditional medicine is quackery. Instead, what this means is that it helps people in a way that the evidence-based medicine I'm personally familiar with either does not take into consideration, or that it does not understand yet. In many ways, the evidence-based approach has a lot of growing to do, especially in the realm of the use of placebos. 
Frequently you find stories of traditional medicine being used as a last resort for someone who is dying and is seeking final comforts in knowing every possible was tried. Often these medicines, while the mechanism is unknown and likely a placebo, have observable, physical effects. These medicines help people and it's not for me to say that they are wrong. 
As someone who has made their life in North America, I should note that this is not my problem to solve.  Traditional medicine is just that, a tradition of a culture I am not part of. While I can look at its effects on the animals I love, I cannot comment on the traditions or on the effectiveness of the medicine. In fact, I think that teaching others about this could be somewhat dangerous. Studies done now about education about traditional medicine in conservation organizations have shown that frequently people leave with racist attitudes. Content warning, Racism: ||People have said things like ""Those Asians always killing things to get boners"" or ""Why don't the Chinese know that it doesn't work?""|| Absolute horrible stereotypes. I will leave my fact up, as discord has a different reach than those organizations had, but I've only chosen to do that after much thought. If you are someone from not those cultures who is reading the fish facts, I do ask that you realize that it is not your job to comment on those things. However, the taking of animals for those purposes is something those places and people need to resolve or those animals will go extinct. 
But don't worry my fellow North Americans! We have SO many conservation problems we are doing as cultural norms that we should do to protect animals. The one off the top of my head is the American/European tradition of having a ""lawn"". A modern lawn is usually a relatively flat area covered by a single species of short-growing grass. Even then, the grass must be cut short so it grows no more than 5 cm in height. A whole industry has arisen around this process. Huge amounts of land have been dedicated to growing this grass to put into lawns. Hours of time either by the lawn owner or by people who are paid by the owner are spent on the maintaining of this space. And the two worst things for fish, gas power tools and fertilizers. Often the cutting tools for lawns are powered by small gas engines that are extremely inefficient. Meaning that cutting a lawn can produce tons of carbon dioxide for only the purposes of... appearance, I guess? I've talked about fertilizers before, but lawns seem to absorb less than half of the chemical fertilizers given to them. Meaning that all that extra nutrient goes straight down the drain and into waterways where it can harm fish.",
938931207306104883,2022-02-03 22:57:24.320000+00:00,"On that note, I've had some people ask for like a fish fact quiz or something of the sort that reviews and quizzes about some of the facts I spoke about. I'd have to find a service that works, but maybe I could put something together. If you're interested, could you give me a 👍 on this one? I'm just trying to get a read on if this would be something fun.",
938930394609365003,2022-02-03 22:54:10.558000+00:00,"I managed a whole year! I only really missed one day, and I made up for it. That said, I think I'm going to have to slow down on the fish facts for now. I think rather than trying to push one out every day, I'm going to switch to only doing a fact every so often. Maybe weekly, maybe monthly, really just whenever it seems to be important or when I get a request. It's not that there aren't more fish facts, I could likely keep going until I die. But there's just not quite enough time.  Thanks to everyone who took the time to read the facts. And thanks to everyone who reacted to the facts too! I really really appreciate them.",
938928762177871932,2022-02-03 22:47:41.356000+00:00,"GUESS WHAT?! Today marks one year of fish facts!!!!!! The first fish fact was sent out on February 3rd, 2021! I think for this one I'm going to try and review some of the facts. 
The first fish fact was about sequential hermaphrodites! What a weird fact to start with! We then sunk deep into what makes a fish a fish. A series of random exceptions to the rules kept going for a few facts after that. 
We then did some random species facts! From slime to seahorses. As we went through we talked about some of the things like scales, fins, and fossils! 
Some deep-sea adaptations too, like bioluminescence, cold seeps, and hydrothermal vents! Hagfish and hearts. We've discussed the human uses of fish, like fish oils and of course eating fish. There were like 50 facts about cod alone. Goldfish and carp dominated the facts for a while too! Lots of pop culture fish, from the holy mackerel to goldfish the snack food (BTDUBS the first ingredient in goldfish is smiles had to get that correction in). 
We talked about fish in science, and even in space. The fish that help make our medicine and test for pollution. We talked about fish that are gone and fish that are near gone. We've talked about fish who invade and push out other fish. We've talked about how we can help fish and how we hurt them.
Not to wax poetic for too long, but  I think it shows some of the coolest parts about studying animals. We as humans are inexorably linked to fish, just as we are to most everything alive on the planet. I hope if you've got anything from the fish facts it's a new appreciation of some animals who often don't get the spotlight.  Thanks so much for going on this journey with me!",
938506674845679628,2022-02-02 18:50:27.894000+00:00,God the animation is so bad.,https://cdn.discordapp.com/attachments/806614781083516958/938506674677878845/450.png
938506521044725840,2022-02-02 18:49:51.225000+00:00,"Oscar and some other fish (I can't be bothered to remember her name, she's pointless) played by Angelina Jolie",https://cdn.discordapp.com/attachments/806614781083516958/938506520608538654/shark-tale-gallery-1.png
938506109659017236,2022-02-02 18:48:13.143000+00:00,"The poster, showing some of the animation.",https://cdn.discordapp.com/attachments/806614781083516958/938506109432504350/Movie_poster_Shark_Tale.png
938505983330779176,2022-02-02 18:47:43.024000+00:00,"Shark Tale! So this is an animated movie by Dreamworks Animations. It was released in the US on Oct. 1st, 2004. It was widely criticized. 
The whole plot takes place underwater with a variety of anthropomorphized fish. They are hideous in appearance, with human faces and fish bodies. We follow Oscar, a Bluestreak Wrasse who wishes to be rich and famous, but instead works at a ""whale wash."" Oscar is voiced by Will Smith. He gets in trouble with some sort of shark gang, and eventually ends up accidently dropping an anchor on the neck of a shark, killing the shark. He then becomes popular as people think he murdered the shark on purpose. Eventually his love interest gets kidnapped and a nice shark and Oscar stage a rescue. He loses his popularity but the nice shark gets accepted by his family. Oscar goes back to the whale wash and works there, presumably until his death. 
On release, the show received 36% positive reviews. It was criticized as the shark crime family is depicted with Italian stereotypes.  It is pretty bad. There are also some really bad representations of black people.  The nice shark subplot was often interpreted as a story about accepting homosexuality in families, and was therefore protested by many groups including the American Family Association. Will smith won a Kids choice award for best voice actor, and it won an award for its voice casting. It was nominated for best animated feature, but rightly lost to The Incredibles.",
